Name,Cancelled_Flights,Impacted_PNR,Variables,Constraints,Classical_Time,Quantum_Time,Classical_Cost,Quantum_Cost
Small,87,87,1352,103,1187.999963760376,16.024,91929.65020889253,91926.89945759268
Small,87,87,1352,103,894.9999809265137,16.029,91929.65020889253,91927.03632528473
Small,87,87,1352,103,901.9999504089355,16.028,91929.65020889253,91927.22445312809
Medium,518,518,8312,495,143.00012588500977,16.029,302108.2832590609,302106.8649663865
Medium,518,518,8312,495,105.99994659423828,16.032,302108.2832590609,302106.57164385874
Medium,518,518,8312,495,139.00017738342285,16.055,302108.2832590609,302106.8202482453
Big,490,490,4844,533,3108.0000400543213,32.054,526256.086815041,526217.3798918227
Big,490,490,4844,533,3014.000177383423,16.039,526256.086815041,526214.9785769517
Big,490,490,4844,533,4197.000026702881,16.024,526256.086815041,526215.8882440592
